ean;kod;nazwa;stany;
5908310068855;K 5002/1/R M;Toledo K 5002/1/R M;100;
5908310068978;K 5002/2/R M;Toledo K 5002/2/R M;100;
5908310069692;K 5002/3/R M;Toledo K 5002/3/R M;100;
5908310061610;K 5002/1/KW M;Wenecja K 5002/1/KW M;100;
5908310061627;K 5002/2/KW M;Wenecja K 5002/2/KW M;100;
5908310061634;K 5002/3/KW M;Wenecja K 5002/3/KW M;100;
5908310065663;K 3012/1/N M;Witraż K 3012/1/N M;100;
5908310060972;K 5002/1/N P;Witraż K 5002/1 N P;100;
5908310060248;K 5002/2/N P;Witraż K 5002/2 N P;100;
5908310060262;K 5002/3/N P;Witraż K 5002/3 N P;100;
