"EAN code";"article number";"availability";"next expected arrival"
"5998250359496";"5949";"available";"2022-06-20"
"5998250359557";"5955";"available";""
"5998250359564";"5956";"available";""
"5998250359571";"5957";"available";""
"5998250359588";"5958";"0";""
"5998250359595";"5959";"0";""
"5998250359601";"5960";"0";""
"5998250359618";"5961";"available";""
"5998250359625";"5962";"available";"2022-05-20"
"5998250359632";"5963";"available";"2022-02-28"
"5998250359649";"5964";"available";"2022-02-28"
"5998250359656";"5965";"available";""
"5998250359663";"5966";"available";"2022-05-20"
"5998250359670";"5967";"available";"2022-02-28"
"5998250359687";"5968";"available";"2022-06-20"
"5998250359694";"5969";"available";"2022-06-20"
"5998250359700";"5970";"0";"2022-02-03"
"5998250359717";"5971";"0";"2022-02-21"
"5998250359724";"5972";"available";"2022-02-03"
"5998250359731";"5973";"available";"2022-02-21"
"5998250359748";"5974";"0";""
"5998250359755";"5975";"available";"2022-05-20"
"5998250359762";"5976";"available";"2022-03-07"
"5998250359779";"5977";"available";"2022-05-20"
"5998250359786";"5978";"available";"2022-05-20"
"5998250359793";"5979";"available";"2022-05-20"
"5998250359816";"5981";"available";"2022-02-21"
"5998250359823";"5982";"available";"2022-02-28"
"5998250359830";"5983";"available";""
"5998250359847";"5984";"12";""
"5998250359878";"5987";"19";"2022-02-21"
"5998250359885";"5988";"available";""
"5998250359892";"5989";"available";""
"5998250359908";"5990";"available";""
"5998250359915";"5991";"available";"2022-03-07"
"5998250359922";"5992";"available";"2022-03-07"
"5998250359939";"5993";"available";"2022-03-07"
"5998250359946";"5994";"available";"2022-05-20"
"5998250359953";"5995";"available";"2022-05-20"
"5998250359960";"5996";"available";"2022-03-07"
"5998250359977";"5997";"available";"2022-03-07"
"5998250359984";"5998";"available";"2022-03-07"
"5998250359991";"5999";"0";""
"5998250360003";"6000";"14";""
"5998250360010";"6001";"available";""
"5998250360027";"6002";"4";""
"5998250360034";"6003";"0";""
"5998250360041";"6004";"7";""
"5998250360058";"6005";"available";""
"5998250360065";"6006";"available";""
"5998250360072";"6007";"available";""
"5998250360089";"6008";"0";"2022-02-21"
"5998250360096";"6009";"available";""
"5998250360102";"6010";"1";""
"5998250360157";"6015";"0";""
"5998250360171";"6017";"0";""
"5998250360195";"6019";"1";""
"5998250360201";"6020";"available";""
"5998250360256";"6025";"available";"2022-02-21"
"5998250360263";"6026";"0";"2022-02-18"
"5998250360270";"6027";"0";"2022-02-18"
"5998250360287";"6028";"0";"2022-02-21"
"5998250360294";"6029";"available";""
"5998250360300";"6030";"available";""
"5998250360393";"6039";"available";""
"5998250360409";"6040";"available";""
"5998250360454";"6045";"available";"2022-03-07"
"5998250360461";"6046";"available";"2022-03-07"
"5998250360478";"6047";"available";""
"5998250360485";"6048";"available";"2022-03-07"
"5998250360492";"6049";"available";""
"5998250360508";"6050";"available";""
"5998250360607";"6060";"0";"2022-02-21"
"5998250360614";"6061";"available";"2022-02-03"
"5998250360621";"6062";"0";"2022-02-21"
"5998250360638";"6063";"available";"2022-02-21"
"5998250360645";"6064";"available";"2022-02-03"
"5998250360652";"6065";"available";""
"5998250360669";"6066";"available";""
